ID	CONCEPT	DOCULECT	FORM	VALUE	TOKENS	COGID	COGIDS	ALIGNMENT	MORPHEMES	NOTE	DATASET
16781	genio,carácter,conciencia	cavinena	nime_arakida	nime arakida	n i m e + a r a k i d a	6573	6160	( - - ) n i m e ( + a r a k i d a - - )		None	girardprototakanan
16782	genio,carácter,conciencia	cavinena	nime_baka	nime baka	n i m e + b a k a	6573	6160	( - - ) n i m e ( + b a k a - - - - - )		None	girardprototakanan
16783	genio,carácter,conciencia	cavinena	inime-ba-	inime-ba-	i n i m e + b a	6573	6160	( i - ) n i m e ( + b a - - - - - - - )		None	girardprototakanan
16784	genio,carácter,conciencia	cavinena	inime-eke	inime-eke	i n i m e + e k e	6573	6160	( i - ) n i m e ( + e k e - - - - - - )		None	girardprototakanan
16785	genio,carácter,conciencia	cavinena	inime-ma	inime-ma	i n i m e + m a	6573	6160	( i - ) n i m e ( + m a - - - - - - - )		None	girardprototakanan
16786	genio,carácter,conciencia	cavinena	inime-taka	inime-taka	i n i m e + t a k a	6573	6160	( i - ) n i m e ( + t a k a - - - - - )		None	girardprototakanan
16787	genio,carácter,conciencia	cavinena	inime-topo	inime-topo	i n i m e + t o p o	6573	6160	( i - ) n i m e ( + t o p o - - - - - )		None	girardprototakanan
16788	fold	prototakana	nu-	nu-	n u	6575	6162	( - - - - - - - - - - - - ) n u ( - - - - - - - - - )		None	girardprototakanan
16789	fold	tacana	nu-a-ti-	nu-a-ti-	n u + a + t i	6575	6162	( - - - - - - - - - - - - ) n u ( + - a - - - + t i )		None	girardprototakanan
16790	fold	cavinena	no-ka-	no-ka-	n o + k a	6577	6164	( - - - - - - - - - - - - ) n o ( + k a - - - - - - )		None	girardprototakanan
16791	fold	cavinena	nuka	nuka	n u k a	6575	6162	( - - - - - - - - - - - - ) n u ( - k a - - - - - - )		None	girardprototakanan
16792	fold	cavinena	nu-yu	nu-yu	n u + j u	6575	6162	( - - - - - - - - - - - - ) n u ( - - - + j u - - - )		None	girardprototakanan
16793	fold	cavinena	ka-nu-kato	ka-nu-kato	k a + n u + k a t o	6575	6162	( k a + - - - - - - - - - ) n u ( + k a - - - - t o )		None	girardprototakanan
16794	fold	cavinena	nuka-nuka	nuka-nuka	n u k a + n u k a	6575	6162	( - - - - - - - - - - - - ) n u ( - k a + n u - k a )		None	girardprototakanan
16795	fold	eseejja	xa-no-či-ki-	xa-no-či-ki-	x a + n o + tʃ i + k i	6575	6162	( x a + - - - - - - - - - ) n o ( + tʃ i - - - + k i )		None	girardprototakanan
16796	brother	prototakana	nu-	nu-	n u	6575	6162	( - - - - - - - - - - - - ) n u ( - - - - - - - - - )		None	girardprototakanan
16797	brother	tacana	nu-sane	nu-sane	n u + s a n e	6575	6162	( - - - - - - - - - - - - ) n u ( + s a - n e - - - )		None	girardprototakanan
16798	brother	cavinena	e-no-oke	e-no-oke	e + n o + o k e	6575	6162	( e + - - - - - - - - - - ) n o ( - - - - + o - k e )		None	girardprototakanan
16799	brother	cavinena	e-tata-haea-no-ke	e-tata-haea-no-ke	e + t a t a + h a j a + n o + k e	6575	6162	( e + t a t a + h a j a + ) n o ( - - - - - - + k e )		None	girardprototakanan
16800	brother	eseejja	e-nono	e-nono	e + n o n o	6575	6162	( - e + - - - - - - - - - ) n o ( - - - - n o - - - )		None	girardprototakanan
16801	brother	eseejja	nono	nono	n o n o	6575	6162	( - - - - - - - - - - - - ) n o ( - - - - n o - - - )		None	girardprototakanan
16802	push	prototakana	nu-	nu-	n u	6575	6162	( - - - - - - - - - - - - ) n u ( - - - - - - - - - )		None	girardprototakanan
16803	push	tacana	nu-nu	nu-nu	n u + n u	6575	6162	( - - - - - - - - - - - - ) n u ( + - - - n u - - - )		None	girardprototakanan
16804	push	tacana	nu-si-	nu-si-	n u + s i	6575	6162	( - - - - - - - - - - - - ) n u ( + s i - - - - - - )		None	girardprototakanan
16805	push	cavinena	nu-nu	nu-nu	n u + n u	6575	6162	( - - - - - - - - - - - - ) n u ( - - - + n u - - - )		None	girardprototakanan
16806	meter,entrar	prototakana	nubi	nubi	n u b i	6578	6165	( - - - - - - - ) n u b i ( - - - - - - - )		cf. *du2,*dubi	girardprototakanan
16807	meter,entrar	tacana	nubi-a-	nubi-a-	n u b i + a	6578	6165	( - - - - - - - ) n u b i ( + a - - - - - )		None	girardprototakanan
16808	meter,entrar	tacana	iča-nubi-a-	iča-nubi-a-	i tʃ a + n u b i + a	6578	6165	( i tʃ a + - - - ) n u b i ( + a - - - - - )		None	girardprototakanan
16809	meter,entrar	tacana	nubi-a-me	nubi-a-me	n u b i + a + m e	6578	6165	( - - - - - - - ) n u b i ( + a + m e - - )		None	girardprototakanan
16810	meter,entrar	tacana	nubi-	nubi-	n u b i	6578	6165	( - - - - - - - ) n u b i ( - - - - - - - )		None	girardprototakanan
16811	meter,entrar	cavinena	nobi-	nobi-	n o b i	6579	6166	( - - - - - - - ) n o b i ( - - - - - - - )		Concept 'hincar' taken from Armentia	girardprototakanan
16812	meter,entrar	cavinena	e-nubi	e-nubi	e + n u b i	6578	6165	( e + - - - - - ) n u b i ( - - - - - - - )		None	girardprototakanan
16813	meter,entrar	cavinena	nube	nube	n u b e	6580	6167	( - - - - - - - ) n u b e ( - - - - - - - )		None	girardprototakanan
16814	meter,entrar	eseejja	xa-kwea-nobi-ki	xa-kwea-nobi-ki	x a + kʷ e a + n o b i + k i	6578	6165	( x a + kʷ e a + ) n o b i ( + k i - - - - )		None	girardprototakanan
16815	meter,entrar	eseejja	e-nobibi_etí	e-nobibi etí	e + n o b i b i + e t í/i	6578	6165	( e + - - - - - ) n o b i ( - b i + e t í/i )		None	girardprototakanan
16816	meter,entrar	eseejja	nobi-	nobi-	n o b i	6578	6165	( - - - - - - - ) n o b i ( - - - - - - - )		None	girardprototakanan
16817	meter,entrar	eseejja	ha-nobi-ti-	ha-nobi-ti-	h a + n o b i + t i	6578	6165	( h a + - - - - ) n o b i ( + t i - - - - )		None	girardprototakanan
16818	pasto,paja	prototakana	nuc̣a	nuc̣a	n u ʈʂ a	6581	6168	n u ʈʂ a ( - - - - - )		None	girardprototakanan
16819	pasto,paja	tacana	nuca	nuca	n u ʈʂ a	6581	6168	n u ʈʂ a ( - - - - - )		None	girardprototakanan
16820	pasto,paja	tacana	nuca-da	nuca-da	n u ʈʂ a + d a	6581	6168	n u ʈʂ a ( + d a - - )		None	girardprototakanan
16821	pasto,paja	cavinena	noca	noca	n o ts a	6581	6168	n o ts a ( - - - - - )		None	girardprototakanan
16822	pasto,paja	cavinena	noca-kini	noca-kini	n o ts a + k i n i	6581	6168	n o ts a ( + k i n i )		None	girardprototakanan
16823	árbol con fruto que se comen	prototakana	nui	nui	n u i	6582	5173	n u - i		None	girardprototakanan
16824	árbol con fruto que se comen	tacana	nui	nui	n u i	6582	5173	n u - i		None	girardprototakanan
16825	árbol con fruto que se comen	cavinena	noi	noi	n o i	6582	5173	n o - i		None	girardprototakanan
16826	árbol con fruto que se comen	eseejja	noi	noi	n o i	6582	5173	n o - i		None	girardprototakanan
16827	centipede	prototakana	nuřiři	nuřiři	n u ɽ i ɽ i	6583	6170	n u ɽ i ɽ i		None	girardprototakanan
16828	centipede	tacana	nuriri	nuriri	n u r i r i	6583	6170	n u r i r i		None	girardprototakanan
16829	centipede	cavinena	nuriri	nuriri	n u r i r i	6583	6170	n u r i r i		None	girardprototakanan
16830	with	prototakana	n...	n...	n	6584	6171	n ( - - - )		None	girardprototakanan
16831	with	tacana	-nehe	-nehe	n e h e	6584	6171	n ( e h e )		None	girardprototakanan
16832	with	araona	-ñae	-ñae	ɲ a e	6584	6171	ɲ ( a - e )		None	girardprototakanan
16833	with	eseejja	-nixe	-nixe	n i x e	6584	6171	n ( i x e )		None	girardprototakanan
16834	center or middle	prototakana	pa-	pa-	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16835	center or middle	tacana	pa-ři	pa-ři	p a + ɽ i	6585	6172	( - - - - - - - ) p a ( + ɽ i - - - - - - - )		None	girardprototakanan
16836	center or middle	prototakana	patia	patia	p a t i a	6586	6173	( - - - - - ) p a t i a ( - - - - - - )		None	girardprototakanan
16837	center or middle	tacana	bue-patia	bue-patia	b u e + p a t i a	6586	6173	( b u e + - ) p a t i a ( - - - - - - )		None	girardprototakanan
16838	center or middle	cavinena	patya	patya	p a t j a	6586	6173	( - - - - - ) p a t j a ( - - - - - - )		None	girardprototakanan
16839	center or middle	cavinena	patya-hake	patya-hake	p a t j a + h a k e	6586	6173	( - - - - - ) p a t j a ( + h a k e - )		None	girardprototakanan
16840	center or middle	cavinena	patya-patya	patya-patya	p a t j a + p a t j a	6586	6173	( - - - - - ) p a t j a ( + p a t j a )		None	girardprototakanan
16841	center or middle	cavinena	bare-patya	bare-patya	b a r e + p a t j a	6586	6173	( b a r e + ) p a t j a ( - - - - - - )		None	girardprototakanan
16842	center or middle	cavinena	meta-patya	meta-patya	m e t a + p a t j a	6586	6173	( m e t a + ) p a t j a ( - - - - - - )		None	girardprototakanan
16843	bury	prototakana	pa-	pa-	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16844	bury	tacana	pa-pa-	pa-pa-	p a + p a	6585	6172	( - - - - - - - ) p a ( + p a - - - - - - - )		None	girardprototakanan
16845	bury	tacana	pa-ha-	pa-ha-	p a + h a	6585	6172	( - - - - - - - ) p a ( + h a - - - - - - - )		None	girardprototakanan
16846	bury	tacana	pa-pa-hi	pa-pa-hi	p a + p a + h i	6585	6172	( - - - - - - - ) p a ( + p a + h i - - - - )		None	girardprototakanan
16847	bury	tacana	pa-dayu	pa-dayu	p a + d a j u	6585	6172	( - - - - - - - ) p a ( + d a j u - - - - - )		None	girardprototakanan
16848	bury	tacana	pa-čača-neti	pa-čača-neti	p a + tʃ a tʃ a + n e t i	6585	6172	( - - - - - - - ) p a ( + tʃ a tʃ a + n e t i )		None	girardprototakanan
16849	bury	tacana	pa-ča-pa-ča	pa-ča-pa-ča	p a + tʃ a + p a + tʃ a	6585	6172	( - - - - - - - ) p a ( + tʃ a + p a + tʃ a - )		None	girardprototakanan
16850	bury	cavinena	pa-pa	pa-pa	p a + p a	6585	6172	( - - - - - - - ) p a ( + p a - - - - - - - )		None	girardprototakanan
16851	bury	cavinena	pa-kaša-	pa-kaša-	p a + k a ʃ a	6585	6172	( - - - - - - - ) p a ( + k a ʃ a - - - - - )		None	girardprototakanan
16852	bury	cavinena	pa-ka-ka-	pa-ka-ka-	p a + k a + k a	6585	6172	( - - - - - - - ) p a ( + k a + k a - - - - )		Concepts 'despeñar,abrir' taken from Armentia	girardprototakanan
16853	bury	cavinena	e-pa-kaša-ke	e-pa-kaša-ke	e + p a + k a ʃ a + k e	6585	6172	( e + - - - - - ) p a ( + k a ʃ a + k e - - )		None	girardprototakanan
16854	bury	cavinena	e-pa-pa	e-pa-pa	e + p a + p a	6585	6172	( e + - - - - - ) p a ( + p a - - - - - - - )		None	girardprototakanan
16855	bury	cavinena	e-pa-pa-ki	e-pa-pa-ki	e + p a + p a + k i	6585	6172	( e + - - - - - ) p a ( + p a + k i - - - - )		None	girardprototakanan
16856	bury	cavinena	e-pa-ka	e-pa-ka	e + p a + k a	6585	6172	( e + - - - - - ) p a ( + k a - - - - - - - )		None	girardprototakanan
16857	bury	cavinena	pa-ka	pa-ka	p a + k a	6585	6172	( - - - - - - - ) p a ( + k a - - - - - - - )		None	girardprototakanan
16858	bury	cavinena	ka-pa-kaisa	ka-pa-kaisa	k a + p a + k a i s a	6585	6172	( k a + - - - - ) p a ( + k a i s a - - - - )		None	girardprototakanan
16859	bury	eseejja	pa-a-he-	pa-a-he-	p a + a + h e	6585	6172	( - - - - - - - ) p a ( + - a + h e - - - - )		None	girardprototakanan
16860	bury	eseejja	pa-a-ka-	pa-a-ka-	p a + a + k a	6585	6172	( - - - - - - - ) p a ( + - a + k a - - - - )		None	girardprototakanan
16861	bury	eseejja	xa-pa-a-ki-	xa-pa-a-ki-	x a + p a + a + k i	6585	6172	( x a + - - - - ) p a ( + - a + k i - - - - )		None	girardprototakanan
16862	bury	eseejja	pa-he-a	pa-he-a	p a + h e + a	6585	6172	( - - - - - - - ) p a ( + h e + a - - - - - )		cognate?	girardprototakanan
16863	cry	prototakana	pa-	pa-	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16864	cry	tacana	pa-tai-mave	pa-tai-mave	p a + t a i + m a β e	6585	6172	( - - - - - - - ) p a ( + t a i + m a β e - )		None	girardprototakanan
16865	cry	tacana	e-pa-ni	e-pa-ni	e + p a + n i	6585	6172	( e + - - - - - ) p a ( + n i - - - - - - - )		None	girardprototakanan
16866	cry	tacana	pa-dari	pa-dari	p a + d a r i	6585	6172	( - - - - - - - ) p a ( + d a r i - - - - - )		None	girardprototakanan
16867	cry	cavinena	pa-ana-kaka	pa-ana-kaka	p a + a n a + k a k a	6585	6172	( - - - - - - - ) p a ( + a n a + k a k a - )		None	girardprototakanan
16868	cry	cavinena	ka-ena-pa-ti-	ka-ena-pa-ti-	k a + e n a + p a + t i	6585	6172	( k a + e n a + ) p a ( + t i - - - - - - - )		None	girardprototakanan
16869	cry	cavinena	ena-pa-ya	ena-pa-ya	e n a + p a + j a	6585	6172	( e n a + - - - ) p a ( + j a - - - - - - - )		None	girardprototakanan
16870	cry	cavinena	peya_inime	peya inime	p e j a + i n i m e	6587	6174	( - - - - - - - ) p e ( - j a + i n i m e - )		None	girardprototakanan
16871	cry	cavinena	peya-peya	peya-peya	p e j a + p e j a	6588	6175	( - - - - - - - ) p e ( - j a + p e j a - - )		None	girardprototakanan
16872	cry	cavinena	peya-ya	peya-ya	p e j a + j a	6589	6176	( - - - - - - - ) p e ( - j a + j a - - - - )		None	girardprototakanan
16873	cry	cavinena	pa-na-kana	pa-na-kana	p a + n a + k a n a	6585	6172	( - - - - - - - ) p a ( + n a + k a n a - - )		None	girardprototakanan
16874	se dice	prototakana	pa-	pa-	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16875	se dice	cavinena	pa	pa	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16876	se dice	eseejja	pa	pa	p a	6585	6172	( - - - - - - - ) p a ( - - - - - - - - - - )		None	girardprototakanan
16877	augmentative suffix	prototakana	-pa	-pa	p a	6590	6668	( - - ) p a ( - )		None	girardprototakanan
16878	augmentative suffix	tacana	-pa	-pa	p a	6590	6668	( - - ) p a ( - )		None	girardprototakanan
16879	augmentative suffix	cavinena	-pa	-pa	p a	6590	6668	( - - ) p a ( - )		None	girardprototakanan
16880	kidney	prototakana	pa...	pa...	p a	6591	6178	( - - ) p a ( - - - - - )		None	girardprototakanan
16881	kidney	tacana	e-paidhudu	e-paidhudu	e + p a i ð u d u	6591	6178	( e + ) p a ( i ð u d u )		None	girardprototakanan
16882	kidney	cavinena	e-pakaka	e-pakaka	e + p a k a k a	6591	6178	( e + ) p a ( - k a k a )		None	girardprototakanan
16883	bitter	prototakana	pac̣e	pac̣e	p a ʈʂ e	6592	6179	p a ʈʂ e ( - - )		None	girardprototakanan
16884	bitter	tacana	pace-da	pace-da	p a ʈʂ e + d a	6592	6179	p a ʈʂ e ( - - ) + d a - - )		None	girardprototakanan
16885	strike	prototakana	paja	paja	p a ʃ a	6593	6180	( - - - - - - ) p a ʃ a ( - - - - - )		None	girardprototakanan
16886	strike	tacana	pařa-	pařa-	p a ɽ a	6593	6180	( - - - - - - ) p a ɽ a ( - - - - - )		None	girardprototakanan
16887	strike	tacana	ha-me-pařa-ti-	ha-me-pařa-ti-	h a + m e + p a ɽ a + t i	6593	6180	( h a + m e + ) p a ɽ a ( + t i - - )		None	girardprototakanan
16888	strike	cavinena	paha	paha	p a h a	6593	6180	( - - - - - - ) p a h a ( - - - - - )		None	girardprototakanan
16889	strike	eseejja	hea-paša-nahe	hea-paša-nahe	h e a + p a ʃ a + n a h e	6593	6180	( h e a + - - ) p a ʃ a ( + n a h e )		None	girardprototakanan
16890	strike	eseejja	e-pašá-xaxa	e-pašá-xaxa	e + p a ʃ !á/a + x a x a	6593	6180	( e + - - - - ) p a ʃ !á/a ( + x a x a )		None	girardprototakanan
16891	carpir	prototakana	pařu	pařu	p a ɽ u	6594	6181	p a ɽ u ( - - - - - )		None	girardprototakanan
16892	carpir	tacana	paru-	paru-	p a r u	6594	6181	p a r u ( - - - - - )		None	girardprototakanan
16893	carpir	cavinena	paro-paro-	paro-paro-	p a r o + p a r o	6594	6181	p a r o ( + p a r o )		None	girardprototakanan
16894	white	prototakana	pasa	pasa	p a s a	6595	6182	( - - - - - ) p a s a ( - - - - - - )		None	girardprototakanan
16895	white	tacana	pasa-ne	pasa-ne	p a s a + n e	6595	6182	( - - - - - ) p a s a ( + n e - - - )		None	girardprototakanan
16896	white	warisa	padha-me	padha-me	p a ð a + m e	6595	6182	( - - - - - ) p a ð a ( + m e - - - )		None	girardprototakanan
16897	tuerto,gris	prototakana	paza	paza	p a z a	6596	6183	p a z a ( - - - - - )		None	girardprototakanan
16898	tuerto,gris	tacana	padha	padha	p a ð a	6596	6183	p a ð a ( - - - - - )		Concept 'tuerto' taken from Armentia	girardprototakanan
16899	tuerto,gris	tacana	bupe-padha	bupe-padha	b u p e + p a ð a	6597	6184	b u p e ( + p a ð a )		None	girardprototakanan
16900	tuerto,gris	tacana	pada-pada	pada-pada	p a d a + p a d a	6598	6185	p a d a ( + p a d a )		None	girardprototakanan
16901	tuerto,gris	cavinena	pasa	pasa	p a s a	6596	6183	p a s a ( - - - - - )		None	girardprototakanan
16902	tuerto,gris	cavinena	pasa-u	pasa-u	p a s a + u	6596	6183	p a s a ( + - u - - )		None	girardprototakanan
16903	ventear	prototakana	pei-	pei-	p e i	6599	6186	( - - ) p e i ( - - - - - - - - - )		None	girardprototakanan
16904	ventear	tacana	e-piki	e-piki	e + p i k i	6600	6187	( e + ) p - i ( - - - - - k i - - )		None	girardprototakanan
16905	ventear	tacana	pei-pei-išo	pei-pei-išo	p e i + p e i + i ʃ o	6599	6186	( - - ) p e i ( - + p e i + i ʃ o )		None	girardprototakanan
16906	ventear	eseejja	e-pexi	e-pexi	e + p e x i	6599	6186	( e + ) p e - ( - - - - - x i - - )		None	girardprototakanan
16907	ventear	eseejja	pio-	pio-	p i o	6599	6186	( - - ) p - i ( o - - - - - - - - )		None	girardprototakanan
16908	ventear	eseejja	e-piohi	e-piohi	e + p i o h i	6599	6186	( e + ) p - i ( o - - - - h i - - )		None	girardprototakanan
16909	one	prototakana	peia-	peia-	p e i a	6601	6188	( - - - ) p e ( - ) i a ( - - - - - - - - - - - - - )		None	girardprototakanan
16910	one	tacana	pia-da	pia-da	p i a + d a	6601	6188	( - - - ) p - ( - ) i a ( + d a - - - - - - - - - - )		None	girardprototakanan
16911	one	tacana	ha-pia-ti-	ha-pia-ti-	h a + p i a + t i	6601	6188	( h a + ) p - ( - ) i a ( + t i - - - - - - - - - - )		None	girardprototakanan
16912	one	tacana	pea-batame	pea-batame	p j a + b a t a m e	6602	6189	( - - - ) p - - j a ( + b a t a m e - - - - - - )		None	girardprototakanan
16913	one	tacana	pea-kwana	pea-kwana	p j a + kʷ a n a	6603	6190	( - - - ) p - - j a ( + kʷ a n a - - - - - - - - )		None	girardprototakanan
16914	one	tacana	pea-ve	pea-ve	p j a + β e	6604	6191	( - - - ) p - - j a ( + β e - - - - - - - - - - )		None	girardprototakanan
16915	one	warisa	pembive	pembive	p e m b i β e	6601	6188	( - - - ) p e ( - ) - - ( - m b i β e - - - - - - - )		None	girardprototakanan
16916	one	warisa	pebi	pebi	p e b i	6601	6188	( - - - ) p e ( - ) - - ( - - b i - - - - - - - - - )		None	girardprototakanan
16917	one	araona	peada	peada	p e a d a	6601	6188	( - - - ) p e ( - ) - a ( - d a - - - - - - - - - - )		None	girardprototakanan
16918	one	cavinena	pea-masa	pea-masa	p j a + m a s a	6605	6192	( - - - ) p - - j a ( + m a s a - - - - - - - - )		None	girardprototakanan
16919	one	cavinena	pea-pea	pea-pea	p j a + p j a	6606	6193	( - - - ) p - - j a ( + p j a - - - - - - - - - )		None	girardprototakanan
16920	one	cavinena	pea-ra	pea-ra	p j a + r a	6607	6194	( - - - ) p - - j a ( + r a - - - - - - - - - - )		None	girardprototakanan
16921	one	cavinena	pea-sa	pea-sa	p j a + s a	6608	6195	( - - - ) p - - j a ( + s a - - - - - - - - - - )		None	girardprototakanan
16922	one	cavinena	pea	pea~peya	p j a	6609	6196	( - - - ) p - - j a ( - - - - - - - - - - - - - )		None	girardprototakanan
16923	one	cavinena	pea-dya	pea-dya	p j a + d j a	6610	6197	( - - - ) p - - j a ( + d j a - - - - - - - - - )		None	girardprototakanan
16924	one	cavinena	pea-dyaihaka	pea-dyaihaka	p j a + d j a i h a k a	6611	6198	( - - - ) p - - j a ( + d j a i h a k a - - - - )		None	girardprototakanan
16925	one	cavinena	peeyaho	peeyaho	p e e j a h o	6601	6188	( - - - ) p e ( e ) j a ( - h o - - - - - - - - - - )		None	girardprototakanan
16926	one	cavinena	pidia	pidia	p i d i a	6612	6199	( - - - ) p i - - - ( - d i a - - - - - - - - - )		None	girardprototakanan
16927	one	cavinena	kwa-pidya	kwa-pidya	kʷ a + p i d j a	6613	6200	( kʷ a + ) p i - - - ( - d j a - - - - - - - - - )		None	girardprototakanan
16928	one	eseejja	pea	pea	p e a	6601	6188	( - - - ) p e ( - ) - a ( - - - - - - - - - - - - - )		None	girardprototakanan
16929	one	eseejja	pea-ha	pea-ha	p e a + h a	6601	6188	( - - - ) p e ( - ) - a ( + h a - - - - - - - - - - )		None	girardprototakanan
16930	one	eseejja	pea-ho	pea-ho	p e a + h o	6601	6188	( - - - ) p e ( - ) - a ( + h o - - - - - - - - - - )		None	girardprototakanan
16931	one	eseejja	pea-ai	pea-ai	p e a + a i	6601	6188	( - - - ) p e ( - ) - a ( + a i - - - - - - - - - - )		None	girardprototakanan
16932	one	eseejja	pea-beka-peexima	pea-beka-peexima	p e a + b e k a + p e e x i m a	6601	6188	( - - - ) p e ( - ) - a ( + b e k a + p e e x i m a )		None	girardprototakanan
16933	one	eseejja	pea-koxoxi	pea-koxoxi	p e a + k o x o x i	6601	6188	( - - - ) p e ( - ) - a ( + k o x o x i - - - - - - )		None	girardprototakanan
16934	one	eseejja	péa	péa	p !é/e a	6601	6188	( - - - ) p !é/e ( - ) - a ( - - - - - - - - - - - - - )		None	girardprototakanan
16935	un lado,junto,ante,adelante	prototakana	peke	peke	p e k e	6614	6201	( - - - ) p e k e ( - - - )		None	girardprototakanan
16936	un lado,junto,ante,adelante	tacana	bo-pehe	bo-pehe	b o + p e h e	6614	6201	( b o + ) p e h e ( - - - )		Concept 'de un solo lado' taken from Armentia	girardprototakanan
16937	un lado,junto,ante,adelante	tacana	pehe-su	pehe-su	p e h e + s u	6614	6201	( - - - ) p e h e ( + s u )		None	girardprototakanan
16938	un lado,junto,ante,adelante	cavinena	peke	peke	p e k e	6614	6201	( - - - ) p e k e ( - - - )		Concepts 'ante,delante' taken from Armentia	girardprototakanan
16939	un lado,junto,ante,adelante	cavinena	peka	peka	p e k a	6615	6202	( - - - ) p e k a ( - - - )		None	girardprototakanan
16940	bamboo	prototakana	penena	penena	p e n e n a	6616	6203	p e n e n a		None	girardprototakanan
16941	bamboo	tacana	penena	penena	p e n e n a	6616	6203	p e n e n a		None	girardprototakanan
16942	bamboo	cavinena	penena	penena	p e n e n a	6616	6203	p e n e n a		None	girardprototakanan
16943	cayapo,balsa	prototakana	peře	peře	p e ɽ e	6617	6204	( - - - - - ) p e ɽ e ( - - - - - - - - )		None	girardprototakanan
16944	cayapo,balsa	tacana	pere	pere	p e r e	6617	6204	( - - - - - ) p e r e ( - - - - - - - - )		None	girardprototakanan
16945	cayapo,balsa	tacana	pere-baba	pere-baba	p e r e + b a b a	6617	6204	( - - - - - ) p e r e ( + b a b a - - - )		None	girardprototakanan
16946	cayapo,balsa	cavinena	pere	pere	p e r e	6617	6204	( - - - - - ) p e r e ( - - - - - - - - )		None	girardprototakanan
16947	accompany	prototakana	peře	peře	p e ɽ e	6617	6204	( - - - - - ) p e ɽ e ( - - - - - - - - )		None	girardprototakanan
16948	accompany	tacana	e-pere-hi	e-pere-hi	e + p e r e + h i	6617	6204	( e + - - - ) p e r e ( + h i - - - - - )		None	girardprototakanan
16949	accompany	tacana	pere-pere-ti-	pere-pere-ti-	p e r e + p e r e + t i	6617	6204	( - - - - - ) p e r e ( + p e r e + t i )		None	girardprototakanan
16950	accompany	tacana	pere-pere	pere-pere	p e r e + p e r e	6617	6204	( - - - - - ) p e r e ( + p e r e - - - )		None	girardprototakanan
16951	accompany	warisa	eperéxe	eperéxe	e p e r !é/e x e	6617	6204	( - e - - - ) p e r !é/e ( - x e - - - - - )		None	girardprototakanan
16952	accompany	cavinena	e-pere	e-pere	e + p e r e	6617	6204	( e + - - - ) p e r e ( - - - - - - - - )		None	girardprototakanan
16953	accompany	cavinena	e-pere-ki	e-pere-ki	e + p e r e + k i	6617	6204	( e + - - - ) p e r e ( + k i - - - - - )		None	girardprototakanan
16954	accompany	eseejja	e-xa-pee-ki	e-xa-pee-ki	e + x a + p e e + k i	6617	6204	( e + x a + ) p e - e ( + k i - - - - - )		None	girardprototakanan
16955	accompany	eseejja	pee-	pee-	p e e	6617	6204	( - - - - - ) p e - e ( - - - - - - - - )		None	girardprototakanan
16956	accompany	eseejja	xa-pee-ki-	xa-pee-ki-	x a + p e e + k i	6617	6204	( x a + - - ) p e - e ( + k i - - - - - )		None	girardprototakanan
16957	accompany	eseejja	beka-pee-	beka-pee-	b e k a + p e e	6617	6204	( b e k a + ) p e - e ( - - - - - - - - )		None	girardprototakanan
16958	accompany	eseejja	iña-pee-	iña-pee-	i ɲ a + p e e	6617	6204	( i ɲ a + - ) p e - e ( - - - - - - - - )		None	girardprototakanan
16959	accompany	eseejja	iya-pee-	iya-pee-	i j a + p e e	6617	6204	( i j a + - ) p e - e ( - - - - - - - - )		None	girardprototakanan
16960	desenganchar	prototakana	pesu-	pesu-	p e s u	6618	6205	p e s u		None	girardprototakanan
16961	desenganchar	tacana	pesu-	pesu-	p e s u	6618	6205	p e s u		Concepts 'zafar,resbalar' taken from Armentia	girardprototakanan
16962	desenganchar	cavinena	peho-	peho-	p e h o	6618	6205	p e h o		Concept 'desbastar' taken from Armentia	girardprototakanan
16963	desenganchar	eseejja	peho-	peho-	p e h o	6618	6205	p e h o		None	girardprototakanan
16964	pasar,atravesar	prototakana	petu	petu	p e t u	6619	6206	( - - ) p e t u ( - - - )		None	girardprototakanan
16965	pasar,atravesar	tacana	peto	peto	p e t o	6620	6207	( - - ) p e t o ( - - - )		None	girardprototakanan
16966	pasar,atravesar	tacana	e-petu-hi	e-petu-hi	e + p e t u + h i	6619	6206	( e + ) p e t u ( + h i )		None	girardprototakanan
16967	pasar,atravesar	eseejja	peko-	peko-	p e k o	6619	6206	( - - ) p e k o ( - - - )		None	girardprototakanan
16968	spread out	prototakana	pi-	pi-	p i	6621	6208	( - - - - - - - - ) p i ( - - - - - - - - - - - - - - - )		None	girardprototakanan
16969	spread out	tacana	pi-rara-	pi-rara-	p i + r a r a	6621	6208	( - - - - - - - - ) p i ( + r a r a - - - - - - - - - - )		None	girardprototakanan
16970	spread out	tacana	buce-pi	buce-pi	b u ʈʂ e + p i	6621	6208	( - - - b u ʈʂ e + ) p i ( - - - - - - - - - - - - - - - )		None	girardprototakanan
16971	spread out	cavinena	pi-ha-	pi-ha-	p i + h a	6621	6208	( - - - - - - - - ) p i ( + h a - - - - - - - - - - - - )		Concepts 'carmenar,desarrugar' taken from Armentia1887	girardprototakanan
